geo_code,year,naics,jobs
CA,2016,11,444680.0
CA,2016,21,271300.0
CA,2016,22,136350.0
CA,2016,23,1365010.0
CA,2016,31-33,1596570.0
CA,2016,41,665685.0
CA,2016,44-45,2110200.0
CA,2016,48-49,876050.0
CA,2016,51,420350.0
CA,2016,52,790580.0
CA,2016,53,333305.0
CA,2016,54,1335125.0
CA,2016,55,28795.0
CA,2016,56,802420.0
CA,2016,61,1346585.0
CA,2016,62,2138025.0
CA,2016,71,379740.0
CA,2016,72,1283725.0
CA,2016,81,814695.0
CA,2016,91,1128945.0
35,2016,11,102070.0
35,2016,21,32340.0
35,2016,22,50820.0
35,2016,23,476835.0
35,2016,31-33,683335.0
35,2016,41,270745.0
35,2016,44-45,783540.0
35,2016,48-49,329240.0
35,2016,51,176715.0
35,2016,52,380765.0
35,2016,53,144275.0
35,2016,54,567825.0
35,2016,55,12365.0
35,2016,56,338640.0
35,2016,61,528470.0
35,2016,62,754555.0
35,2016,71,147425.0
35,2016,72,478070.0
35,2016,81,296960.0
35,2016,91,415635.0
3501005,2016,11,445.0
3501005,2016,21,20.0
3501005,2016,22,45.0
3501005,2016,23,535.0
3501005,2016,31-33,660.0
3501005,2016,41,350.0
3501005,2016,44-45,770.0
3501005,2016,48-49,485.0
3501005,2016,51,55.0
3501005,2016,52,130.0
3501005,2016,53,125.0
3501005,2016,54,310.0
3501005,2016,55,10.0
3501005,2016,56,225.0
3501005,2016,61,535.0
3501005,2016,62,855.0
3501005,2016,71,135.0
3501005,2016,72,415.0
3501005,2016,81,285.0
3501005,2016,91,445.0
3501007,2016,11,0.0
3501007,2016,21,0.0
3501007,2016,22,10.0
3501007,2016,23,40.0
3501007,2016,31-33,10.0
3501007,2016,41,0.0
3501007,2016,44-45,40.0
3501007,2016,48-49,10.0
3501007,2016,51,0.0
3501007,2016,52,10.0
3501007,2016,53,10.0
3501007,2016,54,10.0
3501007,2016,55,0.0
3501007,2016,56,15.0
3501007,2016,61,60.0
3501007,2016,62,70.0
3501007,2016,71,25.0
3501007,2016,72,15.0
3501007,2016,81,30.0
3501007,2016,91,60.0
3501011,2016,11,175.0
3501011,2016,21,25.0
3501011,2016,22,65.0
3501011,2016,23,705.0
3501011,2016,31-33,760.0
3501011,2016,41,185.0
3501011,2016,44-45,890.0
3501011,2016,48-49,415.0
3501011,2016,51,55.0
3501011,2016,52,120.0
3501011,2016,53,75.0
3501011,2016,54,245.0
3501011,2016,55,0.0
3501011,2016,56,235.0
3501011,2016,61,540.0
3501011,2016,62,930.0
3501011,2016,71,105.0
3501011,2016,72,435.0
3501011,2016,81,355.0
3501011,2016,91,555.0
3501012,2016,11,70.0
3501012,2016,21,10.0
3501012,2016,22,80.0
3501012,2016,23,1320.0
3501012,2016,31-33,1965.0
3501012,2016,41,605.0
3501012,2016,44-45,3210.0
3501012,2016,48-49,1540.0
3501012,2016,51,260.0
3501012,2016,52,455.0
3501012,2016,53,265.0
3501012,2016,54,675.0
3501012,2016,55,20.0
3501012,2016,56,1150.0
3501012,2016,61,1175.0
3501012,2016,62,2875.0
3501012,2016,71,290.0
3501012,2016,72,1710.0
3501012,2016,81,790.0
3501012,2016,91,1085.0
3501020,2016,11,335.0
3501020,2016,21,10.0
3501020,2016,22,50.0
3501020,2016,23,510.0
3501020,2016,31-33,630.0
3501020,2016,41,195.0
3501020,2016,44-45,625.0
3501020,2016,48-49,350.0
3501020,2016,51,40.0
3501020,2016,52,105.0
3501020,2016,53,80.0
3501020,2016,54,150.0
3501020,2016,55,0.0
3501020,2016,56,240.0
